Coluna     ,Espaço_CSV ,Test_INT ,Test_FLOAT ,Test_CAT  ,Test_OBJ
COMPLEX    ,  53386068 , 6673374 ,  26693100 ,  6673498 ,53386068
FINANC     ,  53386068 , 6673374 ,  26693100 ,  6673498 ,53386068
FAEC_TP    ,  53386068 ,         ,  26693100 ,  6674058 ,53386068
REGCT      ,  53386068 ,13346616 ,  26693100 ,  6673738 ,53386068
RACA_COR   ,  53386068 , 6673374 ,  26693100 ,  6673594 ,53386068
ETNIA      ,  53386068 ,13346616 ,  26693100 , 13356568 ,53386068
SEQUENCIA  ,  53386068 ,26693100 ,  26693100 , 31861060 ,53386068
REMESSA    ,  53386068 ,         ,           , 14022584 ,53386068
AUD_JUST   ,  53386068 ,         ,           , 13431488 ,53386068
SIS_JUST   ,  53386068 ,         ,           , 13523352 ,53386068
VAL_SH_FED ,  53386068 ,53386068 ,  26693100 , 13368624 ,53386068
VAL_SP_FED ,  53386068 ,53386068 ,  26693100 , 13386112 ,53386068
VAL_SH_GES ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_SP_GES ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
